periodo,tipo,n_componentes,volume_observado,volume_predito_xgb,volume_baseline,valor_unitario_medio,mae_xgb,wmape_xgb,bias_xgb,bias_pct_xgb,mae_mm12,wmape_mm12,bias_mm12,bias_pct_mm12,melhoria_mae_xgb,melhoria_wmape_xgb
2021-02-01,treino,1262.0,84122.0,87252.96689398587,0.0,48.706034072900046,nan,nan,-3130.9668939858675,-3.7219358716933355,nan,nan,84122.0,100.0,nan,nan
2021-03-01,treino,1262.0,53036.0,53360.62186084688,84122.0,48.706034072900046,32.159333410840404,0.2943561528518414,-324.6218608468771,-0.6120783257539729,83.98117154811716,0.7686842961913333,-31086.0,-58.613017572969305,61.70649585137705,61.70649585137704
2021-04-01,treino,1262.0,49284.0,49920.875962186605,68579.0,48.706034072900046,27.117638864864904,0.3101356809758919,-636.8759621866047,-1.292257045261352,63.116279069767444,0.7218405071146771,-19295.0,-39.150637123610096,57.035428474974545,57.035428474974545
2021-05-01,treino,1262.0,44054.0,44685.62701244652,62147.333333333336,48.706034072900046,25.754672396188596,0.3154790810562167,-631.6270124465227,-1.433756327340361,51.16229712858926,0.6267070391949962,-18093.333333333336,-41.07080703984504,49.660836511195264,49.660836511195264
2021-06-01,treino,1262.0,49688.0,50653.55193512887,57624.0,48.706034072900046,25.374371904691525,0.2844821717569738,-965.5519351288676,-1.9432296231059163,34.68321299638989,0.38884729024163195,-7936.0,-15.971663178232168,26.839615731873817,26.839615731873828
2021-07-01,treino,1262.0,61477.0,57060.421835541725,56036.799999999996,48.706034072900046,31.108052138902288,0.29174777608705843,4416.578164458275,7.184114651753134,51.30924956369983,0.4812052964957363,5440.2,8.84916310164777,39.371453678576984,39.371453678576984
2021-08-01,treino,1262.0,63356.0,60246.689739678055,56943.5,48.706034072900046,24.73851707130419,0.23624994964624182,3109.310260321945,4.907680820004333,40.63546936481169,0.38806398797541397,6412.5,10.121377612222995,39.120877750395756,39.12087775039574
2021-09-01,treino,1262.0,82077.0,76153.04898277298,57859.57142857143,48.706034072900046,30.272014019828216,0.2263881295305782,5923.951017227024,7.217553050461182,60.351540616246496,0.4513367490333336,24217.428571428572,29.505742865149276,49.84052816096784,49.84052816096784
2021-10-01,treino,1262.0,35959.0,41171.18244384229,60886.75,48.706034072900046,24.131879226333087,0.41874083490423736,-5212.182443842292,-14.494792524381356,53.96497584541063,0.9364102492455572,-24927.75,-69.3227008537501,55.28233108922007,55.28233108922007
2021-11-01,treino,1262.0,50731.0,51945.671319235116,58117.0,48.706034072900046,23.271906625592347,0.28848330277276396,-1214.6713192351162,-2.3943374253121688,34.63778132199185,0.4293770045252845,-7386.000000000001,-14.55914529577576,32.81351825263474,32.81351825263474
2021-12-01,treino,1262.0,43516.0,44756.61807871424,57378.4,48.706034072900046,19.429776266208403,0.2826977514942748,-1240.6180787142366,-2.8509469590822607,34.09447077409163,0.49606491058704555,-13862.4,-31.855869105616325,43.01194350559306,43.01194350559306
2022-01-01,treino,1262.0,41154.0,41809.42913572863,56118.181818181816,48.706034072900046,17.219648522494722,0.27092735473138174,-655.4291357286274,-1.5926255910206237,36.59562607204116,0.5757815645008579,-14964.181818181818,-36.36142736594697,52.94615676584795,52.94615676584795
2022-02-01,treino,1262.0,53678.0,56969.29173067212,54871.166666666664,48.706034072900046,25.974630128373118,0.31532916886717594,-3291.291730672121,-6.131546873341259,35.790247678018574,0.43448969236840623,-1193.1666666666665,-2.222822509532148,27.425397102445732,27.425397102445743
2022-03-01,treino,1262.0,63533.0,58985.80688248947,52334.16666666666,48.706034072900046,21.57688338204022,0.23288686861573388,4547.193117510527,7.157214546000547,34.89026763990268,0.3765828934583367,11198.833333333336,17.62679762223307,38.15787369494537,38.15787369494537
2022-04-01,treino,1262.0,46650.0,47076.03897707537,53208.91666666667,48.706034072900046,20.677407974769128,0.30810119234132977,-426.03897707536817,-0.9132668318871773,29.53398174831893,0.44006748826291087,-6558.916666666667,-14.059842801000357,29.987740390114908,29.987740390114908
2022-05-01,treino,1262.0,65117.0,65194.29624986276,52989.41666666667,48.706034072900046,22.680208911374212,0.2438994398470181,-77.2962498627603,-0.1187036409275002,36.957023809523804,0.397430087208558,12127.583333333336,18.624296778619,38.63085667215028,38.63085667215028
2022-06-01,treino,1262.0,53124.0,55796.63187860325,54744.666666666664,48.706034072900046,20.771026834887756,0.2760711048125072,-2672.63187860325,-5.030931177251807,28.02077431539188,0.3724286807987249,-1620.6666666666663,-3.05072409206134,25.872759256769783,25.87275925676979
2022-07-01,treino,1262.0,43839.0,48010.75121693686,55031.0,48.706034072900046,19.41182642740947,0.3134372010272346,-4171.7512169368565,-9.516072941757011,32.41867043847242,0.5234549856118395,-11192.0,-25.529779420151005,40.121460365713375,40.12146036571338
2022-08-01,treino,1262.0,59272.0,57469.3893840462,53561.166666666664,48.706034072900046,19.954838915796437,0.24043611219169292,1802.610615953803,3.0412515453397946,23.71233521657251,0.28571023371908333,5710.833333333333,9.634959733657263,15.846167264664698,15.846167264664707
2022-09-01,treino,1262.0,57311.0,59941.349170707166,53220.83333333333,48.706034072900046,22.46727352868638,0.2880419683164921,-2630.349170707166,-4.5896061326920945,27.387368901048788,0.35112011411601013,4090.166666666667,7.13679165721531,17.964834044989235,17.964834044989235
2022-10-01,treino,1262.0,50678.0,48708.4967315048,51157.0,48.706034072900046,16.795493181644265,0.24601251437669114,1969.503268495202,3.886308197827858,18.697663971248875,0.27387462081581354,-478.9999999999999,-0.9451833142586524,10.173307171043138,10.173307171043152
