DATA_PEDIDO,Component,consumption_predicted_month,base_date,B1_DESC,B1_GRUPO,NOM_GRUP,ORIGEM,CURVA,PRECO_VENDA_BRL,PRECO_VENDA_USD,PRECO_VENDA_EUR,MULTIPLO_COMPRA,KANBAN_MIN,KANBAN_MAX,B1_ATIVO,DTA_CADASTRO,COD_FORNE,FORNEC_NOM,COD_FABRI,MOEDA,CUSTO_PRODUTO,forecast_horizon_months,forecast_month_str,base_month_str
2026-11-01,T0911,478,2026-02-01,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,9,2026-11-01,2026-02-01
2026-12-01,T0911,502,2026-02-01,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,10,2026-12-01,2026-02-01
2026-12-01,T0911,502,2026-02-01,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,10,2026-12-01,2026-02-01
2027-01-01,T0911,453,2026-02-01,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,11,2027-01-01,2026-02-01
2027-01-01,T0911,453,2026-02-01,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,11,2027-01-01,2026-02-01
2027-02-01,T0911,592,2026-02-01,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,2880,TCI GLOBAL CORP,7080,US$,6.23,12,2027-02-01,2026-02-01
2027-02-01,T0911,592,2026-02-01,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,A,161.08,17.92,15.61,10,nan,4801,S,2017-11-01,7080,SMART,7080,US$,5.66,12,2027-02-01,2026-02-01
2026-03-01,T0911L,211,2026-02-01,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,I,A,281.02,0.0,29.49,10,nan,1401,S,2020-01-09,2880,TCI GLOBAL CORP,7080,US$,9.07,1,2026-03-01,2026-02-01
2026-03-01,T0911L,211,2026-02-01,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,I,A,281.02,0.0,29.49,10,nan,1401,S,2020-01-09,7080,SMART,7080,US$,8.25,1,2026-03-01,2026-02-01
2026-04-01,T0911L,222,2026-02-01,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,I,A,281.02,0.0,29.49,10,nan,1401,S,2020-01-09,2880,TCI GLOBAL CORP,7080,US$,9.07,2,2026-04-01,2026-02-01
2026-04-01,T0911L,222,2026-02-01,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,I,A,281.02,0.0,29.49,10,nan,1401,S,2020-01-09,7080,SMART,7080,US$,8.25,2,2026-04-01,2026-02-01
2026-05-01,T0911L,207,2026-02-01,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,I,A,281.02,0.0,29.49,10,nan,1401,S,2020-01-09,2880,TCI GLOBAL CORP,7080,US$,9.07,3,2026-05-01,2026-02-01
2026-05-01,T0911L,207,2026-02-01,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,I,A,281.02,0.0,29.49,10,nan,1401,S,2020-01-09,7080,SMART,7080,US$,8.25,3,2026-05-01,2026-02-01
