tipo,valor_observado_total,valor_predito_xgb_total,valor_predito_mm_total,erro_abs_financeiro_xgb_total,erro_abs_financeiro_mm_total,bias_financeiro_xgb_total,bias_financeiro_mm_total,wmape_financeiro_xgb,wmape_financeiro_mm,bias_financeiro_pct_xgb,bias_financeiro_pct_mm,melhoria_wmape_financeira
teste,53446530.17666667,86504978.34875436,67503310.9063889,37527302.76642065,25068803.379722223,-33058448.172087688,-14056780.729722222,0.7021466621383041,0.4690445440865419,-0.6185331033242664,-0.26300642311592076,-49.69722406764704
treino,231916823.14833334,232440139.32184544,216001390.10553354,63125905.03647461,96336652.94464262,-523316.17351210944,15915433.042799784,0.2721920047865586,0.4153931208475806,-0.0022564821577320325,0.06862560821049328,34.473636869293884
