Component,Cod_X,Description,Group_name,Supp_Cod,Supplier,ABC,Participacao,New_ABC,check_abc,Alcance_-_Estoque_Atual,Alcance_-_Estoque_Total,Alcance_-_Estoque_total_+_Novo_pedido_(Model),Alcance_-_Estoque_total_+_Novo_pedido_(Baseline),Flag,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Venda_mensal,Cobertura,Final_order,Final_order_baseline,Final_order_ruptura,Nova_cobertura_Ruptura,Unfulfilled_12M,KanBan_Min,KanBan_Max,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,Sales-M9,Sales-M10,Sales-M11,Sales-M12,Sales-M1,Sales-M2,NewProduct,IsException,Check_Suggestion,Min_Order_Value_Warning,Group,Estoque_de_Seguran_a,Alcance_-_Estoque_total_+_Novo_pedido,T_02_2026,T_03_2026,T_04_2026,Service_Level,Alerta_(Diferen_a:_Modelo_-_Baseline),Alerta_(Model_vs_Demand_Ratio),Alerta_Ruptura,Participacao_Acumulada,Origem_Sugest_o,Diferen_a_(Modelo_-_Baseline),Diferen_a_Abs,Compara__o,Model_vs_Demand_Ratio,M_dia,DP,CV,CV_Flag,Nivel_de_Servico,Valor_cr_tico_da_normal_(Z),Z_Flag,Sigma_no_per_odo,Demanda_M_dia_no_Periodo,ROP,Order_Up_To,Venda_Perdida_Projetada_(Unid),Venda_Perdida_Projetada_($),Nova_cobertura,T_05_2026
T70020,X000149,SENSOR DETONACAO,SENSOR DE DETONACAO,7908,FONAN AUTOMOTIVE,A,1.49,A,True,2,7,7,7,Não Comprar,1680,5650,0,0,7330,11824,985,7.44,0,0,0,7,0,0,5001,25.14,1338,35,92,127,1680,0,False,I,3.4,US$,10.0,0.0,1084,735,1003,835,1111,0,False,False,False,False,TC15,1095.0,7.0,1880.0,1550.0,2220.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,25.03,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,794.67,415.66,0.52,ALTO,0.9,1.28,90% de chance de não faltar,855.22,3364.1,4219.32,5146.43,0.0,0.0,7.0,0.0
T0911,X000929,CARCAA PLASTICA P/VT601,VALVULAS VT,2880,TCI GLOBAL CORP,A,1.44,A,True,2,10,10,10,Não Comprar,1862,8200,0,255,9807,11461,955,10.27,0,0,0,10,10,0,4801,56.42,1073,35,127,162,1862,0,False,I,6.23,US$,10.0,0.0,1563,1124,438,854,577,0,False,False,False,False,TC02,1630.0,10.0,0.0,0.0,1950.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,26.47,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,759.33,547.89,0.72,ALTO,0.9,1.28,90% de chance de não faltar,1273.18,4100.38,5373.56,6259.45,0.0,0.0,10.0,0.0
T70316,X000974,SENSOR DE ROTACAO,SENSOR ROTACAO,6523,ABORN,A,1.42,A,True,0,7,7,7,Não Comprar,158,6850,0,8,7000,11305,942,7.43,0,0,0,7,1,0,4601,9.73,793,35,107,142,158,0,False,I,2.7,US$,10.0,0.0,839,1454,502,906,1537,0,False,False,False,False,TC29,1614.0,7.0,0.0,1720.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,27.89,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,873.0,579.74,0.66,ALTO,0.9,1.28,90% de chance de não faltar,1261.3,4132.2,5393.5,6412.0,0.0,0.0,7.0,3550.0
T7441,X000570,MOTOR DE PASSO IAC,IAC - ATUADOR,4863,ZHITESEN,A,1.33,A,True,3,8,8,8,Não Comprar,2498,5020,0,250,7268,10560,880,8.26,0,0,0,8,0,0,3601,85.36,492,35,107,142,2498,0,False,I,2.3,US$,10.0,0.0,720,771,287,458,1195,0,False,False,False,False,TC25,1162.0,8.0,1080.0,1230.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,29.22,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,571.83,417.38,0.73,ALTO,0.9,1.28,90% de chance de não faltar,908.06,2706.66,3614.72,4281.85,0.0,0.0,8.0,2710.0
T70577,X000899,SENSOR DE FASE,SENSOR DE FASE,6523,ABORN,A,1.32,A,True,0,7,7,7,Não Comprar,293,6020,0,4,6309,10510,876,7.2,0,0,0,7,0,0,4001,3.4,725,35,107,142,293,0,False,I,3.5,US$,10.0,0.0,964,1049,416,974,1171,0,False,False,False,False,TC36,1267.0,7.0,0.0,2960.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,30.54,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,762.33,455.14,0.6,ALTO,0.9,1.28,90% de chance de não faltar,990.21,3608.36,4598.57,5487.96,0.0,0.0,7.0,1950.0
T569.92,X001097,VALVULA TERMOSTATICA S/OURO,VALVULAS VT,2880,TCI GLOBAL CORP,A,1.25,A,True,7,7,7,7,Comprar,5488,0,0,0,5488,9959,830,6.61,0,330,330,7,6,0,2,2.82,280,35,127,162,5488,0,False,I,4.94,US$,10.0,0.0,1056,950,673,978,919,0,False,False,False,False,TC02,1176.0,7.0,0.0,0.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,31.79,Flag: Não Comprar,-330.0,330.0,[Baseline > Model],0.0,762.67,395.39,0.52,ALTO,0.9,1.28,90% de chance de não faltar,918.8,4118.42,5037.22,5927.0,0.0,0.0,7.0,0.0
T7427,X000556,VALV. M.L. - IACV,IACV,4863,ZHITESEN,A,1.22,A,True,2,7,7,7,Não Comprar,1593,4460,0,263,5790,9732,811,7.14,0,0,0,7,0,0,3901,17.12,553,35,107,142,1593,0,False,I,5.0,US$,10.0,0.0,561,1260,373,461,1247,0,False,False,False,False,TC04,1404.0,7.0,1500.0,0.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,33.01,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,650.33,504.26,0.78,ALTO,0.9,1.28,90% de chance de não faltar,1097.08,3078.23,4175.31,4934.03,0.0,0.0,7.0,2960.0
T70305,X000852,SENSOR DE ROTACAO,SENSOR ROTACAO,6523,ABORN,A,1.11,A,True,2,9,9,9,Não Comprar,1239,5320,0,11,6548,8841,737,8.88,0,0,0,9,0,0,3501,13.54,562,35,107,142,1239,0,False,I,3.12,US$,10.0,0.0,936,692,537,716,785,0,False,False,False,False,TC29,909.0,9.0,0.0,970.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,34.12,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,611.0,326.28,0.53,ALTO,0.9,1.28,90% de chance de não faltar,709.86,2892.07,3601.93,4314.76,0.0,0.0,9.0,3280.0
T7447,X000576,MOTOR DE PASSO IAC,IAC - ATUADOR,4863,ZHITESEN,A,1.05,A,True,8,13,13,13,Não Comprar,5289,3730,0,0,9019,8354,696,12.96,0,0,0,13,0,0,3801,99.47,274,35,107,142,5289,0,False,I,2.3,US$,10.0,0.0,170,102,0,6,974,0,False,False,False,False,TC25,1062.0,13.0,600.0,0.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,35.17,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,208.67,381.25,1.83,ALTO,0.9,1.28,90% de chance de não faltar,829.46,987.7,1817.16,2060.61,0.0,0.0,13.0,3130.0
T7004,X000154,SENSOR DETONACAO,SENSOR DE DETONACAO,7909,FLY AUTO PARTS CO.,A,0.97,A,True,2,7,7,7,Não Comprar,1131,3660,0,0,4791,7737,645,7.43,0,0,0,7,0,0,3001,0.13,772,35,92,127,1131,0,False,I,2.8,US$,10.0,0.0,1025,879,336,670,1056,0,False,False,False,False,TC15,1104.0,7.0,1240.0,280.0,2140.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,36.14,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,661.0,419.21,0.63,ALTO,0.9,1.28,90% de chance de não faltar,862.53,2798.23,3660.76,4431.93,0.0,0.0,7.0,0.0
