Cod_Produto
T443.71
T451.71
T451.76
T9800
T70323
T7041
T70556
T7043
T70434
T70403
T486.89
T625.100
T5044
T7746
T70511
T70509
T70418
T70510
T7084
T7058
T7064
T7066
T7067
T7068
T7069
T7070
T7071
T7072
T7074
T7075
